"","lon","lat","bp","time_bp_slice","site","type","region","bio01","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","biome","npp","lai","altitude","rugosity"
"1",-2.25806,37.63861,130000,-130000,"Cucú cueva","cave","Iberia",11.5256900787354,7.69607639312744,21.0107421875,4.8104248046875,16.2003173828125,22.8423595428467,3.23742055892944,22.8423595428467,3.23742055892944,514.317321777344,852.960510253906,66.1405944824219,256.813659667969,789.186462402344,136.178146362305,789.186462402344,136.178146362305,20,176.014617919922,2.00999999046326,1100.14782714844,151.380569458008
"2",-2.25806,37.63861,107827,-108000,"Cucú cueva","cave","Iberia",9.62603187561035,6.88534832000732,17.3462219238281,3.84500122070312,13.501220703125,19.7105236053467,2.20577383041382,19.7105236053467,2.20577383041382,491.777435302734,838.941040039062,33.5933494567871,257.360809326172,770.894958496094,110.938858032227,770.894958496094,110.938858032227,14,130.426696777344,1.00999999046326,1100.14782714844,151.380569458008
"3",-2.25806,37.63861,64590,-65000,"Cucú cueva","cave","Iberia",7.90221548080444,5.56011962890625,12.6058044433594,3.46627807617188,9.1395263671875,15.7539100646973,1.80142617225647,15.7539100646973,1.80142617225647,507.244598388672,849.002197265625,25.964864730835,275.908233642578,820.893005371094,102.572792053223,820.893005371094,102.572792053223,14,87.0793304443359,1.07249999046326,1100.14782714844,151.380569458008
"4",22.8075,37.68,58380,-58000,"Klissoura","cave","Greece",10.1829776763916,7.69864368438721,19.2131958007812,3.44338989257812,15.7698059082031,21.175479888916,1.60168862342834,21.175479888916,1.60168862342834,615.052185058594,1314.10278320312,103.798446655273,377.088073730469,1098.42407226562,160.804763793945,1098.42407226562,160.804763793945,14,128.585601806641,0.884999990463257,378.148803710938,302.317230224609
"5",-2.25806,37.63861,54612,-55000,"Cucú cueva","cave","Iberia",9.8189640045166,6.50225973129272,16.4668273925781,4.6005859375,11.8662414550781,19.0549449920654,2.97886562347412,19.0549449920654,2.97886562347412,501.809814453125,809.380737304688,51.507396697998,263.230041503906,734.727783203125,111.825836181641,734.727783203125,111.825836181641,14,119.626457214355,1.00999999046326,1100.14782714844,151.380569458008
"6",35.325,30.971,44839,-45000,"Boker","cave","Levant",17.9121646881104,6.00080966949463,24.8912353515625,11.0061645507812,13.8850708007812,25.2286624908447,9.86137294769287,25.2286624908447,9.86137294769287,88.0607070922852,269.497741699219,0,98.1342086791992,233.419082641602,0,233.419082641602,0,21,82.7354507446289,0.384999990463257,75.6277770996094,235.41731262207
"7",-3.082,37.803,37220,-37000,"Higueral de Valleja","cave","Iberia",10.1579532623291,5.84488201141357,15.7663269042969,5.57852172851562,10.1878051757812,18.5631046295166,3.86088466644287,18.5631046295166,3.86088466644287,563.520324707031,1025.41442871094,13.4620485305786,359.665161132812,1022.81793212891,78.1354370117188,1022.81793212891,78.1354370117188,14,115.80428314209,1.00999999046326,780.929992675781,285.9091796875
"8",-8.55,39.98,28850,-29000,"Buraca_Grande","cave","Iberia",9.0964298248291,2.57561802864075,10.045166015625,6.64129638671875,3.40386962890625,12.3693990707397,6.06606435775757,12.3693990707397,6.06606435775757,1244.68762207031,2562.79272460938,156.655548095703,800.414123535156,2373.62060546875,304.886657714844,2373.62060546875,304.886657714844,15,204.898666381836,1.42666661739349,171.161117553711,118.635353088379
"9",35.325,30.971,26949,-27000,"Boker","cave","Levant",16.0497074127197,5.89610862731934,22.9532470703125,9.81427001953125,13.1389770507812,23.5442752838135,8.40397548675537,23.5442752838135,8.40397548675537,84.4836044311523,244.616958618164,0,83.1217880249023,202.57177734375,0.312536627054214,202.57177734375,0.312536627054214,21,74.8248596191406,0.431874990463257,75.6277770996094,235.41731262207
"10",-8.55,39.98,23920,-24000,"Buraca_Grande","cave","Iberia",8.8143253326416,2.0596809387207,8.11126708984375,6.88897705078125,1.2222900390625,11.4990072250366,6.33501577377319,11.4990072250366,6.33501577377319,1300.8310546875,2597.30004882812,226.226318359375,784.054992675781,2422.56884765625,384.750671386719,2422.56884765625,384.750671386719,15,198.760665893555,1.50999987125397,171.161117553711,118.635353088379
"11",-8.55,39.98,21380,-21000,"Buraca_Grande","cave","Iberia",9.35332679748535,2.15157198905945,9.25265502929688,7.14569091796875,2.10696411132812,11.7187032699585,6.61829042434692,11.7187032699585,6.61829042434692,1316.45446777344,2604.32177734375,236.461517333984,809.780395507812,2460.01489257812,364.384460449219,2460.01489257812,364.384460449219,15,220.644729614258,1.60374987125397,171.161117553711,118.635353088379
"12",-0.8497,38.2836,20850,-21000,"Ratlla_del_Bubo","cave","Iberia",12.719934463501,4.36160326004028,16.6508483886719,8.7489013671875,7.90194702148438,18.8177318572998,8.00586318969727,18.8177318572998,8.00586318969727,343.648345947266,710.596130371094,0,214.620635986328,631.715698242188,44.7988739013672,631.715698242188,44.7988739013672,21,134.794387817383,1.00999999046326,197.443328857422,224.498519897461
"13",36.58,29.14,20170,-20000,"Okuzini","cave","Levant",14.1219120025635,6.74872875213623,21.2430725097656,7.08212280273438,14.1609497070312,22.2452220916748,4.97282314300537,22.2452220916748,4.97282314300537,42.3406524658203,89.9561309814453,16.0156173706055,23.655933380127,73.0675659179688,17.5043182373047,73.0675659179688,17.5043182373047,21,42.8269004821777,0.166249990463257,1020.78112792969,115.448684692383
